Date,ha_open,ha_high,ha_low,ha_close,volume
2007-02-23 09:15:00,44.93,47.76,42.22,44.96,230284950.00000003
2007-02-26 09:15:00,44.945,47.08,41.9,44.975,50401627.50000001
2007-02-27 09:15:00,44.96,48.0,44.96,47.225,41868387.50000001
2007-02-28 09:15:00,46.0925,46.32,41.2,44.185,25946085.0
2007-03-01 09:15:00,45.13875,45.56,43.4,44.5,10986965.0
2007-03-02 09:15:00,44.819375,45.36,43.2,44.18,10019855.0
2007-03-05 09:15:00,44.4996875,44.4996875,40.48,41.745,9611967.5
2007-03-06 09:15:00,43.12234375,43.12234375,40.8,41.83,5493452.5
2007-03-07 09:15:00,42.47617188,43.0,40.6,42.05,4594292.5
2007-03-08 09:15:00,42.26308594,44.4,41.3,42.9,5568585.0
2007-03-09 09:15:00,42.58154297,44.96,40.8,42.77,3550725.0
2007-03-12 09:15:00,42.67577148,42.67577148,40.68,41.345,4866525.0
2007-03-13 09:15:00,42.01038574,43.0,41.2,42.155,3616967.5
2007-03-14 09:15:00,42.08269287,42.08269287,40.8,41.405,1412267.5
2007-03-15 09:15:00,41.74384644,42.72,41.32,41.85,2749737.5
2007-03-16 09:15:00,41.79692322,41.88,40.96,41.4,1023200.0
2007-03-19 09:15:00,41.59846161,42.58,41.22,41.995,1336085.0
2007-03-20 09:15:00,41.7967308,43.24,41.7967308,42.765,2218610.0
2007-03-21 09:15:00,42.2808654,42.8,41.98,42.445,986445.0
2007-03-22 09:15:00,42.3629327,42.8,42.0,42.435,2013587.5
2007-03-23 09:15:00,42.39896635,45.28,41.9,43.515,5566742.5
2007-03-26 09:15:00,42.95698318,45.16,42.4,43.565,2431502.5
2007-03-28 09:15:00,43.26099159,43.26099159,41.3,41.74,2353230.0
2007-03-29 09:15:00,42.5004958,42.68,41.06,41.72,3328130.0
2007-03-30 09:15:00,42.1102479,42.2,41.52,41.81,2019385.0
2007-04-02 09:15:00,41.96012395,41.96012395,40.4,40.705,3120157.5
2007-04-03 09:15:00,41.33256198,41.33256198,40.42,40.42,0.0
2007-04-04 09:15:00,40.87628099,42.04,40.62,41.15,3067530.0
2007-04-05 09:15:00,41.0131405,41.9,40.68,41.255,2908327.5
2007-04-09 09:15:00,41.13407025,42.8,41.13407025,42.015,4110855.0
2007-04-10 09:15:00,41.57453512,43.26,41.57453512,42.705,2731302.5
2007-04-11 09:15:00,42.13976756,44.98,42.13976756,43.765,5791822.5
2007-04-12 09:15:00,42.95238378,44.6,41.96,43.195,3925062.5
2007-04-13 09:15:00,43.07369189,43.56,42.28,42.945,2246627.5
2007-04-16 09:15:00,43.00934594,43.94,42.0,42.845,924200.0
2007-04-17 09:15:00,42.92717297,45.04,42.86,43.9,8213507.5
2007-04-18 09:15:00,43.41358648,46.54,43.24,44.89,9195652.5
2007-04-19 09:15:00,44.15179324,44.8,43.52,44.18,3970850.0
2007-04-20 09:15:00,44.16589662,46.56,44.16589662,45.515,6000707.5
2007-04-23 09:15:00,44.84044831,48.72,44.84044831,46.7,17144772.5
2007-04-24 09:15:00,45.77022416,50.0,45.77022416,48.49,14172192.5
2007-04-25 09:15:00,47.13011208,51.6,47.13011208,50.11,13672192.5
2007-04-26 09:15:00,48.62005604,52.340004,48.62005604,51.190001,9745517.5
2007-04-27 09:15:00,49.90502852,51.12,48.88,49.965,4723545.0
2007-04-30 09:15:00,49.93501426,50.16,48.54,49.465,2808760.0
2007-05-03 09:15:00,49.70000713,50.6,48.88,49.78,1898765.0
2007-05-04 09:15:00,49.74000356,50.16,48.4,49.095,3686820.0
2007-05-07 09:15:00,49.41750178,49.94,48.32,49.0,2467122.5
2007-05-08 09:15:00,49.20875089,49.20875089,48.0,48.555,3048465.0
2007-05-09 09:15:00,48.88187544,49.12,48.0,48.465,1561062.5
2007-05-10 09:15:00,48.67343772,54.259996,48.67343772,51.33,26072205.0
2007-05-11 09:15:00,50.00171885,56.18,50.00171885,53.705,29477785.0
2007-05-14 09:15:00,51.8533594,56.28,51.8533594,55.535001,8206460.0
2007-05-15 09:15:00,53.6941802,56.740004,53.6941802,55.28,7791125.0
2007-05-16 09:15:00,54.4870901,59.559996,54.4870901,56.879998,21774250.0
2007-05-17 09:15:00,55.68354405,61.840004,55.68354405,60.110001,16720412.5
2007-05-18 09:15:00,57.8967725,61.359996,57.8967725,60.310001,7459292.5
2007-05-21 09:15:00,59.10338675,60.98,59.10338675,60.005001,1980580.0
2007-05-22 09:15:00,59.5541939,59.6,58.2,59.0,4873990.0
2007-05-23 09:15:00,59.27709695,60.959996,57.640004,59.195,5966007.5
2007-05-24 09:15:00,59.2360485,59.7,58.540004,59.03,4488550.0
2007-05-25 09:15:00,59.13302425,60.359996,57.3,58.584999,4304247.5
2007-05-28 09:15:00,58.8590116,60.92,58.8590116,60.23,3965715.0
2007-05-29 09:15:00,59.5445058,66.18,59.5445058,62.850001,12475502.5
2007-05-30 09:15:00,61.1972534,66.72,61.1972534,64.205,19519230.0
2007-05-31 09:15:00,62.7011267,65.759996,62.7011267,64.179998,14042637.5
2007-06-01 09:15:00,63.44056235,65.08,63.22,64.075,5611847.5
2007-06-04 09:15:00,63.7577812,64.959996,62.0,63.564999,9571560.0
2007-06-05 09:15:00,63.6613901,63.6613901,62.48,63.110001,4316752.5
2007-06-06 09:15:00,63.38569555,65.02,61.259996,62.814999,6905015.0
2007-06-07 09:15:00,63.1003473,63.1003473,58.92,60.53,6966772.5
2007-06-08 09:15:00,61.81517365,61.81517365,57.32,58.774999,8645767.5
2007-06-11 09:15:00,60.2950863,60.6,57.7,59.28,8076585.0
2007-06-12 09:15:00,59.78754315,59.78754315,56.0,57.555,4438487.5
2007-06-13 09:15:00,58.6712716,58.6712716,55.92,56.784999,2358480.0
2007-06-14 09:15:00,57.7281353,59.759996,56.4,58.019999,5021437.5
2007-06-15 09:15:00,57.87406715,60.68,57.440004,59.000003,5910847.5
2007-06-18 09:15:00,58.4370351,59.9,57.559996,58.534999,4834317.5
2007-06-19 09:15:00,58.48601705,59.38,58.0,58.64,2852660.0
2007-06-20 09:15:00,58.5630085,60.92,58.5630085,59.739999,9505872.5
2007-06-21 09:15:00,59.15150375,60.759996,59.0,60.005,4886827.5
2007-06-22 09:15:00,59.5782519,60.4,59.48,60.02,3218915.0
2007-06-25 09:15:00,59.79912595,60.02,56.82,58.645,6565635.0
2007-06-26 09:15:00,59.222063,59.359996,57.4,58.359999,3473545.0
2007-06-27 09:15:00,58.791031,58.88,56.340004,57.705001,9625382.5
2007-06-28 09:15:00,58.248016,60.18,56.659996,58.274998,17936450.0
2007-06-29 09:15:00,58.261507,59.92,58.22,59.099999,5900122.5
2007-07-02 09:15:00,58.680753,61.88,58.680753,60.369999,11152775.0
2007-07-03 09:15:00,59.525376,62.5,59.525376,61.790001,14148425.0
2007-07-04 09:15:00,60.6576885,64.18,60.6576885,63.305001,12849225.0
2007-07-05 09:15:00,61.98134475,65.7,61.0,64.07,11117827.5
2007-07-06 09:15:00,63.0256724,66.0,63.0256724,64.625,7750907.5
2007-07-09 09:15:00,63.8253362,66.0,63.6,65.15,5352762.5
2007-07-10 09:15:00,64.4876681,65.159996,63.42,64.594999,5571440.0
2007-07-11 09:15:00,64.54133355,67.859996,63.4,65.584999,12975002.5
2007-07-12 09:15:00,65.0631663,68.78,65.0631663,68.045,10602927.5
2007-07-13 09:15:00,66.55408315,71.32,66.55408315,69.424999,15121380.0
2007-07-16 09:15:00,67.9895411,79.959996,67.9895411,74.934998,44530190.00000001
2007-07-17 09:15:00,71.46226955,82.68,71.46226955,79.135001,28344770.0
2007-07-18 09:15:00,75.2986353,79.4,72.540004,76.489999,22276465.0
2007-07-19 09:15:00,75.89431715,79.4,75.89431715,77.860001,12594680.0
2007-07-20 09:15:00,76.8771591,78.0,75.2,76.695,4597935.0
2007-07-23 09:15:00,76.78607955,77.5,74.4,76.009999,5843932.5
2007-07-24 09:15:00,76.3980393,78.72,76.3980393,77.25,12700325.0
2007-07-25 09:15:00,76.82401965,77.32,73.040004,75.420002,6989275.0
2007-07-26 09:15:00,76.1220108,76.359996,73.240004,74.889999,9547352.5
2007-07-27 09:15:00,75.5060049,75.5060049,67.32,71.369999,14756457.5
2007-07-30 09:15:00,73.43800195,73.43800195,68.040004,69.785001,8407892.5
2007-07-31 09:15:00,71.6115015,74.78,70.0,72.595,13783157.5
2007-08-01 09:15:00,72.10325075,73.58,69.4,71.575001,7482717.5
2007-08-02 09:15:00,71.8391259,72.5,69.459996,70.684998,5508397.5
2007-08-03 09:15:00,71.26206195,72.959996,70.4,71.384998,6143665.0
2007-08-06 09:15:00,71.32353,71.32353,67.8,69.480001,4090042.5
