Date,symbol,open,high,low,close,volume
2011-09-26 09:15:00,NSE:PGEL,21.5,48.439999,17.6,41.529999,400121200.0
2011-09-27 09:15:00,NSE:PGEL,45.0,49.839999,37.529999,48.320001,121448200.0
2011-09-28 09:15:00,NSE:PGEL,47.5,53.7,38.660001,38.660001,85959050.0
2011-09-29 09:15:00,NSE:PGEL,30.929999,41.8,30.929999,31.195001,62504160.0
2011-09-30 09:15:00,NSE:PGEL,27.010001,34.285001,24.960001,30.364999,54510560.0
2011-10-03 09:15:00,NSE:PGEL,24.295,27.5,24.295,25.2,22176500.0
2011-10-04 09:15:00,NSE:PGEL,24.525,25.0,22.68,22.685001,6277170.0
2011-10-05 09:15:00,NSE:PGEL,23.0,23.005,20.42,21.23,8352470.0
2011-10-07 09:15:00,NSE:PGEL,21.0,22.2,20.264999,21.42,8421190.0
2011-10-10 09:15:00,NSE:PGEL,21.4,21.8,20.55,21.185001,3644850.0
2011-10-11 09:15:00,NSE:PGEL,21.2,22.9,20.8,22.105,4016060.0
2011-10-12 09:15:00,NSE:PGEL,22.105,23.2,21.405,23.005,3809090.0
2011-10-13 09:15:00,NSE:PGEL,23.010001,23.7,22.310001,22.695,3487580.0
2011-10-14 09:15:00,NSE:PGEL,22.475,23.3,22.08,22.710001,1399100.0
2011-10-17 09:15:00,NSE:PGEL,22.755,23.9,22.35,23.460001,1322830.0
2011-10-18 09:15:00,NSE:PGEL,23.005,24.605,22.6,22.78,3377680.0
2011-10-19 09:15:00,NSE:PGEL,23.155,23.389999,21.9,22.45,440810.0
2011-10-20 09:15:00,NSE:PGEL,22.395,22.9,21.7,22.325,736910.0
2011-10-21 09:15:00,NSE:PGEL,22.139999,23.4,21.1,21.739999,1650160.0
2011-10-24 09:15:00,NSE:PGEL,21.8,22.45,21.405,22.23,1407910.0
2011-10-25 09:15:00,NSE:PGEL,22.45,22.45,21.3,21.705,929060.0
2011-10-26 09:15:00,NSE:PGEL,21.7,22.6,21.7,22.295,373830.0
2011-10-28 09:15:00,NSE:PGEL,22.3,22.4,21.510001,21.714999,676330.0
2011-10-31 09:15:00,NSE:PGEL,21.695,22.085001,21.4,21.6,1261260.0
2011-11-01 09:15:00,NSE:PGEL,21.53,21.739999,20.8,21.325,1344060.0
2011-11-02 09:15:00,NSE:PGEL,21.110001,21.275,20.605,20.9,899960.0
2011-11-03 09:15:00,NSE:PGEL,21.4,21.9,20.514999,21.285001,1369970.0
2011-11-04 09:15:00,NSE:PGEL,21.4,22.1,21.055,21.335001,463450.0
2011-11-08 09:15:00,NSE:PGEL,21.189999,21.9,21.05,21.589999,423500.0
2011-11-09 09:15:00,NSE:PGEL,21.4,21.68,20.910001,21.03,76030.0
2011-11-11 09:15:00,NSE:PGEL,21.025,21.6,20.43,20.914999,421120.0
2011-11-14 09:15:00,NSE:PGEL,21.389999,22.889999,20.75,21.02,738540.0
2011-11-15 09:15:00,NSE:PGEL,21.114999,21.445,20.4,20.575,109210.0
2011-11-16 09:15:00,NSE:PGEL,20.6,20.7,19.5,20.345,274710.0
2011-11-17 09:15:00,NSE:PGEL,20.410001,20.625,19.1,19.989999,254030.0
2011-11-18 09:15:00,NSE:PGEL,19.85,19.85,18.8,19.22,194100.0
2011-11-21 09:15:00,NSE:PGEL,18.55,19.3,17.85,18.414999,104730.0
2011-11-22 09:15:00,NSE:PGEL,18.3,18.585001,17.7,18.060001,461790.0
2011-11-23 09:15:00,NSE:PGEL,17.945,17.945,16.460001,16.7,159060.0
2011-11-24 09:15:00,NSE:PGEL,16.4,16.8,14.855,16.25,172880.0
2011-11-25 09:15:00,NSE:PGEL,15.77,16.5,15.77,16.38,86440.0
2011-11-28 09:15:00,NSE:PGEL,17.9,19.33,15.810001,18.205,477810.0
2011-11-29 09:15:00,NSE:PGEL,17.510001,18.439999,17.510001,18.045,213480.0
2011-11-30 09:15:00,NSE:PGEL,17.805,19.975,17.6,19.139999,278300.0
2011-12-01 09:15:00,NSE:PGEL,19.855,19.9,18.4,18.955,88410.0
2011-12-02 09:15:00,NSE:PGEL,18.6,20.010001,18.5,19.639999,251240.0
2011-12-05 09:15:00,NSE:PGEL,19.889999,20.5,19.8,20.010001,57420.0
2011-12-07 09:15:00,NSE:PGEL,19.52,20.225,19.52,20.05,287680.0
2011-12-08 09:15:00,NSE:PGEL,19.505,19.789999,19.010001,19.689999,86510.0
2011-12-09 09:15:00,NSE:PGEL,18.9,20.05,18.9,19.785001,489890.0
2011-12-12 09:15:00,NSE:PGEL,19.6,22.360001,19.55,21.195,1369190.0
2011-12-13 09:15:00,NSE:PGEL,21.5,23.4,21.2,22.839999,1778770.0
2011-12-14 09:15:00,NSE:PGEL,22.75,23.5,21.755,22.339999,577390.0
2011-12-15 09:15:00,NSE:PGEL,21.9,22.2,21.35,22.089999,178220.0
2011-12-16 09:15:00,NSE:PGEL,21.12,22.38,21.12,21.82,278840.0
2011-12-19 09:15:00,NSE:PGEL,21.035001,21.105,20.510001,20.73,64560.0
2011-12-20 09:15:00,NSE:PGEL,21.2,24.539999,20.455,21.475,133470.0
2011-12-21 09:15:00,NSE:PGEL,21.0,23.189999,20.63,20.975,486850.0
2011-12-22 09:15:00,NSE:PGEL,21.1,21.495,17.360001,19.85,130240.0
2011-12-23 09:15:00,NSE:PGEL,19.68,20.989999,19.164999,19.58,83180.0
2011-12-26 09:15:00,NSE:PGEL,19.5,20.4,19.464999,19.7,129630.0
2011-12-27 09:15:00,NSE:PGEL,19.895,20.0,19.5,19.55,17770.0
2011-12-28 09:15:00,NSE:PGEL,19.795,19.855,17.710001,18.8,51070.0
2011-12-29 09:15:00,NSE:PGEL,15.039999,17.439999,15.039999,15.575,1778280.0
2011-12-30 09:15:00,NSE:PGEL,15.5,15.5,13.7,14.439999,585070.0
2012-01-02 09:15:00,NSE:PGEL,14.2,14.2,13.105,13.689999,368270.0
2012-01-03 09:15:00,NSE:PGEL,13.5,14.175,13.495,13.75,134980.0
2012-01-04 09:15:00,NSE:PGEL,13.210001,13.68,12.55,13.43,91690.0
2012-01-05 09:15:00,NSE:PGEL,13.02,13.6,12.72,12.914999,80130.0
2012-01-06 09:15:00,NSE:PGEL,12.31,13.385001,12.23,13.1,168970.0
2012-01-09 09:15:00,NSE:PGEL,12.5,13.789999,12.5,13.655,715620.0
2012-01-10 09:15:00,NSE:PGEL,13.63,14.885001,13.63,14.045,466900.0
2012-01-11 09:15:00,NSE:PGEL,14.1,14.105,13.83,14.0,18010.0
2012-01-12 09:15:00,NSE:PGEL,13.8,14.2,13.505,14.155,84700.0
2012-01-13 09:15:00,NSE:PGEL,13.8,14.589999,13.7,14.445,42960.0
2012-01-16 09:15:00,NSE:PGEL,13.87,15.2,13.87,14.935001,30060.0
2012-01-17 09:15:00,NSE:PGEL,14.8,15.7,14.8,15.53,688190.0
2012-01-18 09:15:00,NSE:PGEL,15.6,17.0,15.0,16.039999,312280.0
2012-01-19 09:15:00,NSE:PGEL,16.02,16.495,15.82,16.110001,97600.0
2012-01-20 09:15:00,NSE:PGEL,16.4,16.4,14.995,15.235001,46970.0
2012-01-23 09:15:00,NSE:PGEL,14.510001,15.9,14.510001,15.65,12340.0
2012-01-24 09:15:00,NSE:PGEL,15.789999,15.789999,14.925,15.055,433270.0
2012-01-25 09:15:00,NSE:PGEL,14.4,16.560001,14.4,16.560001,346420.0
2012-01-27 09:15:00,NSE:PGEL,17.689999,17.689999,16.35,16.695,279410.0
2012-01-30 09:15:00,NSE:PGEL,15.910001,17.595,15.910001,17.15,746510.0
2012-01-31 09:15:00,NSE:PGEL,16.4,17.4,16.4,17.095,270010.0
