Date,symbol,open,high,low,close,volume
2010-12-10 09:15:00,NSE:OBEROIRLTY,265.0,267.0,260.0,265.10001,63568.0
2010-12-13 09:15:00,NSE:OBEROIRLTY,268.0,271.5,219.89999,265.54999,463195.0
2010-12-14 09:15:00,NSE:OBEROIRLTY,266.5,270.0,264.70001,267.95001,971836.0
2010-12-15 09:15:00,NSE:OBEROIRLTY,261.10001,269.64999,260.0,261.79999,134851.0
2010-12-16 09:15:00,NSE:OBEROIRLTY,264.75,264.89999,260.0,260.64999,54018.0
2010-12-20 09:15:00,NSE:OBEROIRLTY,260.0,264.85001,260.0,261.20001,26611.0
2010-12-21 09:15:00,NSE:OBEROIRLTY,262.0,272.0,262.0,264.54999,28707.0
2010-12-22 09:15:00,NSE:OBEROIRLTY,265.0,267.45001,261.89999,264.5,144817.0
2010-12-23 09:15:00,NSE:OBEROIRLTY,264.64999,266.0,262.0,264.10001,4309.0
2010-12-24 09:15:00,NSE:OBEROIRLTY,262.04999,265.0,260.10001,261.45001,15428.0
2010-12-27 09:15:00,NSE:OBEROIRLTY,261.45001,265.89999,260.45001,261.85001,9504.0
2010-12-28 09:15:00,NSE:OBEROIRLTY,262.0,265.20001,260.10001,263.54999,76628.0
2010-12-29 09:15:00,NSE:OBEROIRLTY,262.10001,264.5,258.0,261.60001,460498.0
2010-12-30 09:15:00,NSE:OBEROIRLTY,264.0,265.0,258.5,262.04999,224660.0
2010-12-31 09:15:00,NSE:OBEROIRLTY,263.70001,264.39999,254.0,255.64999,24629.0
2011-01-03 09:15:00,NSE:OBEROIRLTY,259.0,264.0,256.10001,257.89999,17565.0
2011-01-04 09:15:00,NSE:OBEROIRLTY,261.0,261.45001,251.10001,252.95,14316.0
2011-01-05 09:15:00,NSE:OBEROIRLTY,252.95,262.0,252.0,260.0,529011.0
2011-01-06 09:15:00,NSE:OBEROIRLTY,261.29999,261.29999,252.14999,253.95,4848.0
2011-01-07 09:15:00,NSE:OBEROIRLTY,254.25,254.25,245.05,246.5,20863.0
2011-01-10 09:15:00,NSE:OBEROIRLTY,242.0,248.0,242.0,245.05,11673.0
2011-01-11 09:15:00,NSE:OBEROIRLTY,247.95,247.95,240.05,241.89999,10576.0
2011-01-12 09:15:00,NSE:OBEROIRLTY,239.0,247.0,239.0,245.5,61808.0
2011-01-13 09:15:00,NSE:OBEROIRLTY,246.8,255.0,245.0,248.5,9693.0
2011-01-14 09:15:00,NSE:OBEROIRLTY,234.0,249.5,234.0,245.10001,49750.0
2011-01-17 09:15:00,NSE:OBEROIRLTY,245.5,246.85001,245.0,245.05,5193.0
2011-01-18 09:15:00,NSE:OBEROIRLTY,245.0,246.5,245.0,245.0,9717.0
2011-01-19 09:15:00,NSE:OBEROIRLTY,256.0,256.0,245.0,249.0,11474.0
2011-01-20 09:15:00,NSE:OBEROIRLTY,249.10001,250.0,244.5,246.5,66509.0
2011-01-21 09:15:00,NSE:OBEROIRLTY,247.0,249.64999,246.05,248.25,7027.0
2011-01-24 09:15:00,NSE:OBEROIRLTY,253.0,253.0,245.10001,248.25,16118.0
2011-01-25 09:15:00,NSE:OBEROIRLTY,248.25,251.95,246.0,247.0,32602.0
