Date,symbol,open,high,low,close,volume
2010-01-08 09:15:00,NSE:NESTLEIND,127.75,128.75,123.76,124.732495,12960.0
2010-01-11 09:15:00,NSE:NESTLEIND,120.05,125.75,120.0,124.9475,16500.0
2010-01-12 09:15:00,NSE:NESTLEIND,127.0,127.0,123.567505,125.142505,1366920.0
2010-01-13 09:15:00,NSE:NESTLEIND,125.142505,127.0,124.0,124.467505,20640.0
2010-01-14 09:15:00,NSE:NESTLEIND,126.75,129.75,123.5,128.41,6607220.0
2010-01-15 09:15:00,NSE:NESTLEIND,129.0,129.0,125.0025,125.675,164580.0
2010-01-18 09:15:00,NSE:NESTLEIND,128.7,128.7,125.7,126.807495,17660.0
2010-01-19 09:15:00,NSE:NESTLEIND,128.35,128.5,126.55,127.805005,13760.0
2010-01-20 09:15:00,NSE:NESTLEIND,127.5,128.75,127.0,127.125,12820.0
2010-01-21 09:15:00,NSE:NESTLEIND,126.994995,128.45,124.994995,126.31,16620.0
2010-01-22 09:15:00,NSE:NESTLEIND,125.0,126.5,123.9,126.45,13620.0
2010-01-25 09:15:00,NSE:NESTLEIND,133.267505,133.267505,125.5,126.1125,39100.0
2010-01-27 09:15:00,NSE:NESTLEIND,128.5,128.744995,124.930005,128.344995,106040.0
2010-01-28 09:15:00,NSE:NESTLEIND,128.4,130.5,126.775,129.342505,20960.0
2010-01-29 09:15:00,NSE:NESTLEIND,126.3,129.0,126.3,126.65,15740.0
2010-02-01 09:15:00,NSE:NESTLEIND,129.9975,129.9975,125.755005,126.61,12280.0
2010-02-02 09:15:00,NSE:NESTLEIND,129.955005,129.955005,127.0,128.005005,16620.0
2010-02-03 09:15:00,NSE:NESTLEIND,129.4,130.0,127.8,128.230005,173620.0
2010-02-04 09:15:00,NSE:NESTLEIND,127.4,129.19,127.4,128.417505,8840.0
2010-02-05 09:15:00,NSE:NESTLEIND,129.1,129.1,122.1,127.455005,33020.0
2010-02-08 09:15:00,NSE:NESTLEIND,128.5,133.6,128.5,132.275,163620.0
2010-02-09 09:15:00,NSE:NESTLEIND,130.005005,141.2,130.005005,139.630005,177220.0
2010-02-10 09:15:00,NSE:NESTLEIND,140.1,162.2,136.930005,137.51,893980.0
2010-02-11 09:15:00,NSE:NESTLEIND,140.95,140.95,136.305005,136.8625,637620.0
2010-02-15 09:15:00,NSE:NESTLEIND,140.75,140.75,130.7,135.9625,90080.0
2010-02-16 09:15:00,NSE:NESTLEIND,139.6,140.735,134.8525,135.092505,122400.0
2010-02-17 09:15:00,NSE:NESTLEIND,135.257495,137.15,134.069995,134.4375,199620.0
2010-02-18 09:15:00,NSE:NESTLEIND,134.4375,135.5,132.25,132.575,44060.0
2010-02-19 09:15:00,NSE:NESTLEIND,132.5,134.25,131.4,132.007495,149900.0
2010-02-22 09:15:00,NSE:NESTLEIND,131.2525,132.45,128.0,129.244995,296400.0
2010-02-23 09:15:00,NSE:NESTLEIND,128.5,129.5,127.55,127.61,61400.0
2010-02-24 09:15:00,NSE:NESTLEIND,127.5,129.5,127.0,128.735,198360.0
2010-02-25 09:15:00,NSE:NESTLEIND,129.0,130.0,127.605005,127.980005,85280.0
2010-02-26 09:15:00,NSE:NESTLEIND,126.305005,132.5,126.305005,131.344995,84780.0
2010-03-02 09:15:00,NSE:NESTLEIND,131.0,132.25,130.0,131.2725,66860.0
2010-03-03 09:15:00,NSE:NESTLEIND,131.5,132.0,130.232495,131.457495,46780.0
2010-03-04 09:15:00,NSE:NESTLEIND,130.5,132.5,130.5,131.7,95920.0
2010-03-05 09:15:00,NSE:NESTLEIND,133.5,135.99,133.5,135.057495,287840.0
2010-03-08 09:15:00,NSE:NESTLEIND,136.5,137.5,134.6125,136.2975,195340.0
2010-03-09 09:15:00,NSE:NESTLEIND,135.0,137.55,135.0,137.26,84240.0
2010-03-10 09:15:00,NSE:NESTLEIND,136.05,138.25,136.05,136.9975,167720.0
2010-03-11 09:15:00,NSE:NESTLEIND,136.25,137.0,134.75,136.6375,554240.0
